Date,Holiday
4/17/2022,Easter
5/30/2022,Memorial Day
7/4/2022,Independence Day
9/5/2022,Labor Day
10/10/2022,Columbus Day and Yorktown Victory Day
11/8/2022,Election Day
11/11/2022,Veterans Day
11/24/2022,Thanksgiving Day
12/26/2022,Christmas Day
1/1/2023,New Year’s Day
1/16/2023,Martin Luther King Jr. Day
2/20/2023,George Washington Day
4/9/2023,Easter
5/29/2023,Memorial Day
7/4/2023,Independence Day
9/4/2023,Labor Day
10/9/2023,Columbus Day and Yorktown Victory Day
11/7/2023,Election Day
11/10/2023,Veterans Day
11/23/2023,Thanksgiving Day
12/25/2023,Christmas Day
1/1/2024,New Year’s Day
1/15/2024,Martin Luther King Jr. Day
2/19/2024,George Washington Day
3/31/2024,Easter
5/27/2024,Memorial Day
7/4/2024,Independence Day
9/2/2024,Labor Day
10/14/2024,Columbus Day and Yorktown Victory Day
11/5/2024,Election Day
11/11/2024,Veterans Day
11/28/2024,Thanksgiving Day
12/25/2024,Christmas Day
1/1/2025,New Year’s Day
1/20/2025,Martin Luther King Jr. Day
2/17/2025,George Washington Day
4/20/2025,Easter
5/26/2025,Memorial Day
7/4/2025,Independence Day
9/1/2025,Labor Day
10/13/2025,Columbus Day and Yorktown Victory Day
11/4/2025,Election Day
11/11/2025,Veterans Day
11/27/2025,Thanksgiving Day
12/25/2025,Christmas Day
1/1/2026,New Year’s Day
1/19/2026,Martin Luther King Jr. Day
2/16/2026,George Washington Day
4/5/2026,Easter
5/25/2026,Memorial Day
7/3/2026,Independence Day
9/7/2026,Labor Day
10/12/2026,Columbus Day and Yorktown Victory Day
11/3/2026,Election Day
11/11/2026,Veterans Day
11/26/2026,Thanksgiving Day
12/25/2026,Christmas Day
1/1/2027,New Year’s Day
1/18/2027,Martin Luther King Jr. Day
2/15/2027,George Washington Day
3/28/2027,Easter
5/31/2027,Memorial Day
7/5/2027,Independence Day
9/6/2027,Labor Day
10/11/2027,Columbus Day and Yorktown Victory Day
11/2/2027,Election Day
11/11/2027,Veterans Day
11/25/2027,Thanksgiving Day
12/25/2027,Christmas Day
